image,mask
ab_wheel/1.jpg,ab_wheel/1.png
ab_wheel/2.jpg,ab_wheel/2.png
ab_wheel/3.jpg,ab_wheel/3.png
ab_wheel/4.jpg,ab_wheel/4.png
ab_wheel/5.jpg,ab_wheel/5.png
ab_wheel/6.jpg,ab_wheel/6.png
ab_wheel/7.jpg,ab_wheel/7.png
ab_wheel/8.jpg,ab_wheel/8.png
ab_wheel/9.jpg,ab_wheel/9.png
ab_wheel/10.jpg,ab_wheel/10.png
abacus/1.jpg,abacus/1.png
abacus/2.jpg,abacus/2.png
abacus/3.jpg,abacus/3.png
abacus/4.jpg,abacus/4.png
abacus/5.jpg,abacus/5.png
abacus/6.jpg,abacus/6.png
abacus/7.jpg,abacus/7.png
abacus/8.jpg,abacus/8.png
abacus/9.jpg,abacus/9.png
abacus/10.jpg,abacus/10.png
ac_ground/1.jpg,ac_ground/1.png
ac_ground/2.jpg,ac_ground/2.png
ac_ground/3.jpg,ac_ground/3.png
ac_ground/4.jpg,ac_ground/4.png
ac_ground/5.jpg,ac_ground/5.png
ac_ground/6.jpg,ac_ground/6.png
ac_ground/7.jpg,ac_ground/7.png
ac_ground/8.jpg,ac_ground/8.png
ac_ground/9.jpg,ac_ground/9.png
ac_ground/10.jpg,ac_ground/10.png
ac_wall/1.jpg,ac_wall/1.png
ac_wall/2.jpg,ac_wall/2.png
ac_wall/3.jpg,ac_wall/3.png
ac_wall/4.jpg,ac_wall/4.png
ac_wall/5.jpg,ac_wall/5.png
ac_wall/6.jpg,ac_wall/6.png
ac_wall/7.jpg,ac_wall/7.png
ac_wall/8.jpg,ac_wall/8.png
ac_wall/9.jpg,ac_wall/9.png
ac_wall/10.jpg,ac_wall/10.png
acorn/1.jpg,acorn/1.png
acorn/2.jpg,acorn/2.png
acorn/3.jpg,acorn/3.png
acorn/4.jpg,acorn/4.png
acorn/5.jpg,acorn/5.png
acorn/6.jpg,acorn/6.png
acorn/7.jpg,acorn/7.png
acorn/8.jpg,acorn/8.png
acorn/9.jpg,acorn/9.png
acorn/10.jpg,acorn/10.png
adhensive_tape/1.jpg,adhensive_tape/1.png
adhensive_tape/2.jpg,adhensive_tape/2.png
adhensive_tape/3.jpg,adhensive_tape/3.png
adhensive_tape/4.jpg,adhensive_tape/4.png
adhensive_tape/5.jpg,adhensive_tape/5.png
adhensive_tape/6.jpg,adhensive_tape/6.png
adhensive_tape/7.jpg,adhensive_tape/7.png
adhensive_tape/8.jpg,adhensive_tape/8.png
adhensive_tape/9.jpg,adhensive_tape/9.png
adhensive_tape/10.jpg,adhensive_tape/10.png
adidas_logo1/1.jpg,adidas_logo1/1.png
adidas_logo1/2.jpg,adidas_logo1/2.png
adidas_logo1/3.jpg,adidas_logo1/3.png
adidas_logo1/4.jpg,adidas_logo1/4.png
adidas_logo1/5.jpg,adidas_logo1/5.png
adidas_logo1/6.jpg,adidas_logo1/6.png
adidas_logo1/7.jpg,adidas_logo1/7.png
adidas_logo1/8.jpg,adidas_logo1/8.png
adidas_logo1/9.jpg,adidas_logo1/9.png
adidas_logo1/10.jpg,adidas_logo1/10.png
adidas_logo2/1.jpg,adidas_logo2/1.png
adidas_logo2/2.jpg,adidas_logo2/2.png
adidas_logo2/3.jpg,adidas_logo2/3.png
adidas_logo2/4.jpg,adidas_logo2/4.png
adidas_logo2/5.jpg,adidas_logo2/5.png
adidas_logo2/6.jpg,adidas_logo2/6.png
adidas_logo2/7.jpg,adidas_logo2/7.png
adidas_logo2/8.jpg,adidas_logo2/8.png
